Model,Name,Odometer,VIN,BidType,Ammount,BuyerName
,,,,Bid,"$15,600","RCU AUTO SERVICES"
,,,,SOLD,"$15,600","RCU AUTO SERVICES"
2015,"TOYOTA TUNDRA 4X2 V8 SR5",5848,5TFRY5F15FX182565,,,
,,,,SOLD,"$15,600","TOYOTA WALNUT CREEK"
2015,"TOYOTA CAMRY 4C LE",19315,4T1BF1FK1FU935871,,,
,,,,SOLD,"$27,500","DUBLIN TOYOTA"
2014,"LEXUS RX 350 FWD",24590,2T2ZK1BA9EC143356,,,
,,,,Bid,"$9,800","P M ENTERPRISES"
,,,,SOLD,"$30,000","LEXUS OF SERRAMONTE"
2012,"LEXUS IS 250 4X2",36279,JTHBF5C2XC5177257,,,
,,,,SOLD,"$19,800","CAPITOL VOLKSWAGEN"
2012,"TOYOTA PRIUS 3",27147,JTDKN3DU9C5518608,,,
,,,,SOLD,"$14,200","UNKNOWN"
2014,"LEXUS IS 250 4X2",31920,JTHBF1D29E5010267,,,
,,,,SOLD,"$25,000","BRUCE TITUS AUTOMOTIVE GROUP"
2012,"LEXUS IS 250 4X2",29478,JTHBF5C20C5184573,,,
,,,,SOLD,"$18,300","UNKNOWN"
2015,"TOYOTA CAMRY 4C LE",19104,4T1BF1FK8FU040491,,,
,,,,SOLD,"$15,200","TOYOTA SUNNYVALE DBA SCION SUNNYVALE"
2015,"TOYOTA CAMRY 4C LE",20935,4T4BF1FK1FR478064,,,
,,,,SOLD,"$15,300","TOYOTA WALNUT CREEK"
2015,"TOYOTA CAMRY 4C LE",14148,4T1BF1FK2FU040311,,,
,,,,Bid,"$15,300","VICTORY TOYOTA"
,,,,SOLD,"$15,400","NINO QUALITY MOTORS INC"
2015,"TOYOTA CAMRY 4C LE",15148,4T1BF1FK7FU043284,,,
,,,,SOLD,"$15,300","TOYOTA SUNNYVALE DBA SCION SUNNYVALE"
2015,"LEXUS IS 350 4X2",8373,JTHBE1D2XF5014512,,,
,,,,Bid,"$36,000","JIMMY VASSER TOYOTA"
,,,,Bid,"$36,250","HIGHLINE TUNING"
,,,,SOLD,"$36,250","HIGHLINE TUNING"
2013,"TOYOTA TUNDRA 4X4 CR",28955,5TFDY5F17DX289043,,,
,,,,Bid,"$32,000","JIMMY VASSER TOYOTA"
,,,,SOLD,"$32,000","JIMMY VASSER TOYOTA"
2015,"TOYOTA CAMRY 4C LE",13132,4T1BF1FK5FU041338,,,
,,,,SOLD,"$15,500","MOMENTUM TOYOTA OF FAIRFIELD"
2015,"SCION FR",22299,JF1ZNAA18F8708535,,,
,,,,SOLD,"$18,000","MOMENTUM TOYOTA OF FAIRFIELD"
2015,"TOYOTA CAMRY 4C LE",22506,4T4BF1FK1FR481384,,,
,,,,SOLD,"$14,500","TOYOTA WALNUT CREEK"
2013,"LEXUS GS 350 4X2",37913,JTHBE1BL4D5013204,,,
,,,,SOLD,"$25,000","LEXUS OF SERRAMONTE"
2015,"TOYOTA CAMRY 4C LE",15229,4T4BF1FK6FR478903,,,
,,,,Bid,"$15,300","CLAWSON HONDA OF FRESNO"
,,,,SOLD,"$15,300","CLAWSON HONDA OF FRESNO"
2015,"TOYOTA CAMRY 4C LE",14755,4T4BF1FK6FR478786,,,
,,,,SOLD,"$15,300","TOYOTA WALNUT CREEK"
2015,"TOYOTA CAMRY 4C LE",17875,4T4BF1FK5FR482120,,,
,,,,Bid,"$15,200","VICTORY TOYOTA"
,,,,SOLD,"$15,200","VICTORY TOYOTA"
2014,"MITSUBISHI MIRAGE DE",38633,ML32A3HJ7EH009021,,,
,,,,Bid,"$6,500","DRIVETIME"
,,,,IF Sale,"$6,600","UNKNOWN"
2015,"KIA OPTIMA LX",39697,5XXGM4A77FG364915,,,
,,,,SOLD,"$13,000","NINO QUALITY MOTORS INC"
2015,"VOLVO XC60 FWD 4C T5",37926,YV426MDBXF2587876,,,
,,,,SOLD,"$24,500","HARRIS FORD LINCOLN"
2014,"HYUNDAI TUCSON AWD 4C SE",51776,KM8JUCAGXEU884546,,,
,,,,SOLD,"$15,100","LITHIA CHRYSLER JEEP DODGE OF SANTA ROSA"
2014,"HYUNDAI SONATA GLS",40522,5NPEB4AC2EH937314,,,
,,,,SOLD,"$11,400","CENTRAL VALLEY AUTOMOTIVE INC"
2015,"MAZDA MAZDA6 I SPORT",53076,JM1GJ1U63F1166063,,,
,,,,Bid,"$13,600","LESKOVAR MITSUBISHI"
,,,,SOLD,"$13,500","HERTZ CAR SALES"
2014,"HYUNDAI ELANTRA SE",38947,5NPDH4AE2EH524580,,,
,,,,Bid,"$10,200","PREMIER HYUNDAI OF OAKLAND"
,,,,SOLD,"$10,200","PREMIER HYUNDAI OF OAKLAND"
2014,"VOLKSWAGEN JETTA SE",36369,3VWD17AJ4EM245027,,,
,,,,SOLD,"$10,400","CENTRAL VALLEY AUTOMOTIVE INC"
2014,"HYUNDAI SANTA SP AWD 4C",38719,5XYZTDLB1EG193246,,,
,,,,Bid,"$16,700","MENDO MOTORS INC"
,,,,SOLD,"$16,700","MENDO MOTORS INC"
2014,"KIA SOUL PLUS",46571,KNDJP3A51E7718960,,,
,,,,SOLD,"$11,200","EL VISTA AUTO SALES"
2015,"NISSAN ALTIMA 4C 2.5 S",45770,1N4AL3AP7FC131335,,,
,,,,SOLD,"$13,100","NINO QUALITY MOTORS INC"
2014,"HYUNDAI SONATA GLS",41537,5NPEB4AC0EH935464,,,
,,,,SOLD,"$11,300","CENTRAL VALLEY AUTOMOTIVE INC"
2014,"HYUNDAI ACCENT GLS",45715,KMHCT4AE3EU644982,,,
,,,,Bid,"$8,500","DRIVETIME"
,,,,SOLD,"$8,500","DRIVETIME"
2014,"HYUNDAI SONATA GLS",41033,5NPEB4AC3EH938486,,,
,,,,SOLD,"$11,500","DUBLIN TOYOTA"
2014,"MAZDA MAZDA3 I SPORT",46057,JM1BM1U79E1197665,,,
,,,,SOLD,"$12,600","DUBLIN TOYOTA"
2014,"HYUNDAI ELANTRA SE",46761,5NPDH4AE2EH496926,,,
,,,,SOLD,"$10,100","797 TOYOTA 101"
2014,"MAZDA MAZDA2 TOURING",51966,JM1DE1LZ7E0178482,,,
,,,,Bid,"$8,000","OAK TREE MAZDA"
,,,,Bid,"$7,900","NIELLO VOLKSWAGEN"
,,,,SOLD,"$8,100","BRUCE TITUS AUTOMOTIVE GROUP"
2014,"MAZDA MAZDA2 TOURING",46521,JM1DE1LZ4E0177581,,,
,,,,Bid,"$8,500","DRIVETIME"
,,,,SOLD,"$8,900","DUBLIN TOYOTA"
2015,"BMW X1 28I XDRIVE 28I XDRIVE",43172,WBAVL1C57FVY25813,,,
,,,,SOLD,"$22,300","DUBLIN TOYOTA"
2014,"HYUNDAI SONATA GLS",42198,5NPEB4AC0EH902254,,,
,,,,Bid,"$11,400","VICTORY TOYOTA"
,,,,Bid,"$11,500","FIVE STAR AUTO DIRECT LLC"
,,,,SOLD,"$11,500","FIVE STAR AUTO DIRECT LLC"
2014,"MAZDA MAZDA5 SPORT",47093,JM1CW2BL0E0168663,,,
,,,,SOLD,"$10,800","HERTZ CAR SALES"
2014,"MAZDA MAZDA5 SPORT",46434,JM1CW2BL2E0168406,,,
,,,,SOLD,"$10,900","HERTZ CAR SALES"
2014,"NISSAN VERSA NOTE SV",50054,3N1CE2CP9EL423577,,,
,,,,Bid,"$8,500","DRIVETIME"
,,,,SOLD,"$8,500","DRIVETIME"
2014,"MAZDA MAZDA2 GS",48284,JM1DE1LZ9E0178483,,,
,,,,Bid,"$8,600","DRIVETIME"
,,,,SOLD,"$8,600","DRIVETIME"
2014,"TOYOTA COROLLA LE",47790,5YFBURHE0EP097991,,,
,,,,SOLD,"$12,100","HANFORD CHRYSLER DODGE JEEP RAM"
2014,"JEEP PATRIOT FWD 4C SPORT",43862,1C4NJPBA5ED779686,,,
,,,,SOLD,"$11,000","INTER AUTO TRADE INC"
2015,"HYUNDAI SANTA FE AWD GLS",41498,KM8SMDHF7FU088801,,,
,,,,Bid,"$21,900","VICTORY TOYOTA"
,,,,SOLD,"$21,900","VICTORY TOYOTA"
2015,"HYUNDAI SONATA 2.4L SE",6898,5NPE24AF3FH016926,,,
,,,,Bid,"$12,300","MAZDA VACAVILLE"
,,,,Bid,"$13,900","OAKLAND MITSUBISHI"
,,,,Bid,"$13,400","LESKOVAR MITSUBISHI"
,,,,SOLD,"$14,000","UNKNOWN"
2011,"HYUNDAI EQUUS SIGNATURE",56436,KMHGH4JF9BU035547,,,
,,,,Bid,"$18,800","KIA OF PORTLAND"
,,,,SOLD,"$19,500","BOARDWALK VOLKSWAGEN, BOARDWALK LOTUS"
2013,"HYUNDAI GENESIS V6 3.8L",39541,KMHGC4DD6DU214740,,,
,,,,Bid,"$13,700","OFF LEASE ONLY INC"
,,,,SOLD,"$13,700","OFF LEASE ONLY INC"
2014,"KIA SORENTO FWD 4C LX",30214,5XYKT3A63EG426089,,,
,,,,Bid,"$14,300","PRECISION FLEET SERVIC..."
